Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_00820	hypothetical protein FVEG_00820					no IPS match	no IPS match	no IPS match
FVEG_00997	gnat family acetyltransferase	"GO:0008080,  GO:0042967"	"N-acetyltransferase activity,  acyl-carrier-protein biosynthetic process"	"F,  P"	EC:2.3.1	"IPR000182 (PFAM), IPR016181 (G3DSA:3.40.630.GENE3D), PTHR13256 (PANTHER), PTHR13256:SF13 (PANTHER), IPR000182 (PROSITE_PROFILES),  IPR016181 (SUPERFAMILY)"	F:GO:0008080	F:N-acetyltransferase activity
FVEG_01039	basic form of pathogenesis- protein 1					"IPR014044 (PFAM), IPR014044 (G3DSA:3.40.33.GENE3D),  IPR014044 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01064	hypothetical protein FVEG_01064					"SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_GRAM_NEGATIVE)"	no GO terms	no GO terms
FVEG_01270		"GO:0008152,  GO:0016846"	"metabolic process,  carbon-sulfur lyase activity"	"P,  F"		"IPR006913 (G3DSA:3.90.1590.GENE3D), IPR006913 (PFAM),  IPR011057 (SUPERFAMILY)"	"P:GO:0008152,  F:GO:0016846"	"P:metabolic process, F:carbon-sulfur lyase activity"
FVEG_01477	alternative mitochondrial	"GO:0009916, GO:0046872, GO:0016021, GO:0070469, GO:0022900,  GO:0006118"	"alternative oxidase activity, metal ion binding, integral component of membrane, respiratory chain, electron transport chain,  obsolete electron transport"	"F, F, C, C, P,  P"		"IPR002680 (PIRSF), IPR002680 (PFAM), PTHR31803:SF3 (PANTHER), PTHR31803 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	"P:GO:0055114,  F:GO:0009916"	"P:oxidation-reduction process, F:alternative oxidase activity"
FVEG_01488	glycoside hydrolase family 114 protein					"IPR004352 (PFAM), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  IPR017853 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01526	hexose transporter protein	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"G3DSA:1.20.1250.20 (GENE3D), IPR003663 (TIGRFAM), IPR005828 (PFAM), PTHR24063 (PANTHER), PTHR24063:SF321 (PANTHER), IPR005829 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0055085, F:GO:0022891, F:GO:0022857, C:GO:0016021, F:GO:0005215,  P:GO:0006810"	"C:membrane, P:transmembrane transport, F:substrate-specific transmembrane transporter activity, F:transmembrane transporter activity, C:integral component of membrane, F:transporter activity, P:transport"
FVEG_01542	threonine dehydratase	"GO:0030170,  GO:0006520"	"pyridoxal phosphate binding,  cellular amino acid metabolic process"	"F,  P"		"IPR001926 (PFAM), G3DSA:3.40.50.1100 (GENE3D), PTHR10314 (PANTHER), PTHR10314:SF17 (PANTHER),  IPR001926 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01543	related to tol protein					IPR010730 (PFAM)	no GO terms	no GO terms
FVEG_01545	polyol transporter 5	"GO:0022891, GO:0016021, GO:0055085,  GO:0008643"	"substrate-specific transmembrane transporter activity, integral component of membrane, transmembrane transport,  carbohydrate transport"	"F, C, P,  P"		"IPR003663 (PRINTS), IPR005828 (PFAM), G3DSA:1.20.1250.20 (GENE3D), IPR003663 (TIGRFAM), PTHR24063:SF306 (PANTHER), PTHR24063 (PANTHER), IPR005829 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085, C:GO:0016020, F:GO:0022891, F:GO:0022857, C:GO:0016021, P:GO:0006810,  F:GO:0005215"	"P:transmembrane transport, C:membrane, F:substrate-specific transmembrane transporter activity, F:transmembrane transporter activity, C:integral component of membrane, P:transport, F:transporter activity"
FVEG_01551	hypothetical protein FVEG_01551					no IPS match	no IPS match	no IPS match
FVEG_01555	uncharacterized lactate 2-monooxygenase	GO:0016491	oxidoreductase activity	F		IPR010730 (PFAM)	no GO terms	no GO terms
FVEG_01557	bacterial leucyl aminopeptidase	"GO:0008233,  GO:0006508"	"peptidase activity,  proteolysis"	"F,  P"		"G3DSA:3.40.630.10 (GENE3D), IPR007484 (PFAM), PTHR12147:SF16 (PANTHER), PTHR12147 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK),  SSF53187 (SUPERFAMILY)"	"P:GO:0006508,  F:GO:0008233"	"P:proteolysis, F:peptidase activity"
FVEG_01567	regulatory p domain-containing protein					"IPR027589 (TIGRFAM), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_01569	hypothetical protein FVEG_01569					Coil (COILS)	no GO terms	no GO terms
FVEG_01570	hypothetical protein FVEG_01570					"Coil (COILS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS),  SIGNAL_PEPTIDE_H_REGION (PHOBIUS)"	no GO terms	no GO terms
FVEG_01571	hypothetical protein FVEG_01571					no IPS match	no IPS match	no IPS match
FVEG_01575	hydrophobin precursor protein	GO:0005576	extracellular region	C		"IPR010636 (PFAM), IPR010636 (G3DSA:3.20.120.GENE3D), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR010636 (SUPERFAMILY)"	C:GO:0005576	C:extracellular region
FVEG_01583	glycoside hydrolase family 18 protein	"GO:0005975, GO:0006032, GO:0004568, GO:0008061,  GO:0016998"	"carbohydrate metabolic process, chitin catabolic process, chitinase activity, chitin binding,  cell wall macromolecule catabolic process"	"P, P, F, F,  P"		"IPR011583 (SMART), IPR001002 (SMART), IPR001002 (G3DSA:3.30.60.GENE3D), IPR013781 (G3DSA:3.20.20.GENE3D), IPR001223 (PFAM), IPR029070 (G3DSA:3.10.50.GENE3D), IPR001002 (PFAM), PTHR11177 (PANTHER), PTHR11177:SF154 (PANTHER), IPR018371 (PROSITE_PATTERNS), IPR001579 (PROSITE_PATTERNS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), IPR001002 (PRODOM), IPR001002 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_EUK), IPR001002 (SUPERFAMILY), IPR017853 (SUPERFAMILY),  IPR029070 (SUPERFAMILY)"	"P:GO:0006032, F:GO:0004568, F:GO:0008061, P:GO:0005975,  F:GO:0004553"	"P:chitin catabolic process, F:chitinase activity, F:chitin binding, P:carbohydrate metabolic process, F:hydrolase activity, hydrolyzing O-glycosyl compounds"
FVEG_01584	carbohydrate-binding module family 50 protein	GO:0008061	chitin binding	F		"IPR018392 (SMART), IPR018392 (G3DSA:3.10.350.GENE3D), IPR018392 (PFAM), IPR001002 (G3DSA:3.30.60.GENE3D), PTHR21666:SF182 (PANTHER), PTHR21666 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), IPR001002 (PRODOM), IPR001002 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_EUK), IPR001002 (SUPERFAMILY),  IPR018392 (SUPERFAMILY)"	F:GO:0008061	F:chitin binding
FVEG_01586	heterokaryon incompatibility protein	"GO:0016620, GO:0006629, GO:0055114,  GO:0008081"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor, lipid metabolic process, oxidation-reduction process,  phosphoric diester hydrolase activity"	"F, P, P,  F"		no IPS match	no IPS match	no IPS match
FVEG_01587	siderophore iron transporter mira	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR24003 (PANTHER), PTHR24003:SF538 (PANTHER), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_01610	enoyl- hydratase isomerase family	"GO:0043581,  GO:0016747"	"mycelium development,  transferase activity, transferring acyl groups other than amino-acyl groups"	"P,  F"		"IPR023213 (G3DSA:3.30.559.GENE3D), IPR003480 (PFAM), PTHR31642 (PANTHER),  PTHR31642:SF13 (PANTHER)"	F:GO:0016747	"F:transferase activity, transferring acyl groups other than amino-acyl groups"
FVEG_01618	maltose permease	"GO:0022891, GO:0016021,  GO:0055085"	"substrate-specific transmembrane transporter activity, integral component of membrane,  transmembrane transport"	"F, C,  P"		"IPR005828 (PFAM), IPR003663 (TIGRFAM), G3DSA:1.20.1250.20 (GENE3D), PTHR24063:SF316 (PANTHER), PTHR24063 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"F:GO:0022857, P:GO:0055085, C:GO:0016021, C:GO:0016020,  F:GO:0022891"	"F:transmembrane transporter activity, P:transmembrane transport, C:integral component of membrane, C:membrane, F:substrate-specific transmembrane transporter activity"
FVEG_01632	benzoate carboxyl methyltransferase	"GO:0032259,  GO:0008168"	"methylation,  methyltransferase activity"	"P,  F"		"IPR005299 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR31009:SF5 (PANTHER), PTHR31009 (PANTHER),  IPR029063 (SUPERFAMILY)"	F:GO:0008168	F:methyltransferase activity
FVEG_01634	beta- -xylosyltransferase 1					"IPR006598 (SMART), IPR006598 (PFAM), PTHR12203:SF19 (PANTHER), PTHR12203 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_01635	hypothetical protein FVEG_01635					no IPS match	no IPS match	no IPS match
FVEG_01636	aaa family atpase	"GO:0017111,  GO:0005524"	"nucleoside-triphosphatase activity,  ATP binding"	"F,  F"	EC:3.6.1.15	"Coil (COILS), Coil (COILS), IPR003593 (SMART), IPR027417 (G3DSA:3.40.50.GENE3D), IPR003959 (PFAM), PTHR23077:SF49 (PANTHER), PTHR23077 (PANTHER),  IPR027417 (SUPERFAMILY)"	"F:GO:0000166, F:GO:0017111,  F:GO:0005524"	"F:nucleotide binding, F:nucleoside-triphosphatase activity, F:ATP binding"
FVEG_01671	nad -binding protein					"PF13460 (PFAM), IPR016040 (G3DSA:3.40.50.GENE3D), PTHR15020:SF20 (PANTHER), PTHR15020 (PANTHER),  SSF51735 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01672	hypothetical protein FVEG_01672	GO:0005515	protein binding	F		IPR001810 (PFAM)	F:GO:0005515	F:protein binding
FVEG_01729	hypothetical protein FVEG_01729					"IPR009799 (PFAM), G3DSA:3.30.70.900 (GENE3D), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  IPR011008 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01738	major facilitator superfamily transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR24003:SF469 (PANTHER), PTHR24003 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"P:GO:0055085,  C:GO:0016021"	"P:transmembrane transport, C:integral component of membrane"
FVEG_01763	hypothetical protein FVEG_01763	GO:0016772	"transferase activity, transferring phosphorus-containing groups"	F		"G3DSA:1.10.510.10 (GENE3D),  IPR011009 (SUPERFAMILY)"	F:GO:0016772	"F:transferase activity, transferring phosphorus-containing groups"
FVEG_01770	endoglucanase type c	"GO:0008810, GO:0030245, GO:0005982,  GO:0005985"	"cellulase activity, cellulose catabolic process, starch metabolic process,  sucrose metabolic process"	"F, P, P,  P"	EC:3.2.1.4	"IPR001722 (PRINTS), IPR001722 (G3DSA:2.70.100.GENE3D), IPR001722 (PFAM), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR008985 (SUPERFAMILY)"	"F:GO:0004553,  P:GO:0005975"	"F:hydrolase activity, hydrolyzing O-glycosyl compounds, P:carbohydrate metabolic process"
FVEG_01772	hypothetical protein FVEG_01772					no IPS match	no IPS match	no IPS match
FVEG_01810	hypothetical protein FVEG_01810					IPR021833 (PFAM)	no GO terms	no GO terms
FVEG_01855	hypothetical protein FVEG_01855	"GO:0007165,  GO:0004871"	"signal transduction,  signal transducer activity"	"P,  F"		"IPR012340 (G3DSA:2.40.50.GENE3D), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), PS51257 (PROSITE_PROFILES),  IPR012340 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_01856	mfs toxin efflux pump	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"IPR001411 (PRINTS), G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR24003 (PANTHER), PTHR24003:SF413 (PANTHER), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_01962	malate glyoxysomal	"GO:0005737, GO:0006099, GO:0006097, GO:0004474,  GO:0006090"	"cytoplasm, tricarboxylic acid cycle, glyoxylate cycle, malate synthase activity,  pyruvate metabolic process"	"C, P, P, F,  P"	EC:2.3.3.9	"IPR006252 (PIRSF), G3DSA:3.20.20.360 (GENE3D), IPR001465 (PFAM), IPR006252 (TIGRFAM), G3DSA:1.20.1220.12 (GENE3D), PTHR21631:SF16 (PANTHER), PTHR21631 (PANTHER), IPR019830 (PROSITE_PATTERNS),  IPR011076 (SUPERFAMILY)"	"P:GO:0006097, F:GO:0004474,  F:GO:0003824"	"P:glyoxylate cycle, F:malate synthase activity, F:catalytic activity"
FVEG_01974	swim zinc finger domain protein					IPR022025 (PFAM)	no GO terms	no GO terms
FVEG_02077	gmc oxidoreductase	"GO:0050660, GO:0008812, GO:0055114, GO:0006066, GO:0006544, GO:0006563,  GO:0006566"	"flavin adenine dinucleotide binding, choline dehydrogenase activity, oxidation-reduction process, alcohol metabolic process, glycine metabolic process, L-serine metabolic process,  threonine metabolic process"	"F, F, P, P, P, P,  P"	EC:1.1.99.1	"IPR012132 (PIRSF), IPR007867 (PFAM), G3DSA:3.50.50.60 (GENE3D), IPR000172 (PFAM), PTHR11552:SF73 (PANTHER), PTHR11552 (PANTHER), IPR000172 (PROSITE_PATTERNS), SSF51905 (SUPERFAMILY),  SSF54373 (SUPERFAMILY)"	"F:GO:0008812, P:GO:0055114, F:GO:0050660, F:GO:0016614,  P:GO:0006066"	"F:choline dehydrogenase activity, P:oxidation-reduction process, F:flavin adenine dinucleotide binding, F:oxidoreductase activity, acting on CH-OH group of donors, P:alcohol metabolic process"
